"Laius (mm)","Paksus (mm)","Dimensiooniühik","Nimi","Toote mall","Toote mall/Nimi","Laius (mm)","Pikkus (mm)","Paksus (mm)","Lukusta laius?","Lukusta pikkus?","Lukusta paksus?","ID","Pikkus (mm)"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42325","1800.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42366","1900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42327","2100.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42329","2400.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42331","2700.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42333","3000.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42367","3300.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42368","3900.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42369","500.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42359","600.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42370","700.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42360","800.0"
"130.0","19.0","mm","Haab 19x130 SMM","Haab 19x130 SMM","Haab 19x130 SMM","0.0","0.0","0.0","","","","42371","900.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42418","1500.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42391","1800.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42393","2100.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42395","2400.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42397","2700.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42399","3000.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42419","3300.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42420","3900.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42424","1500.0"
"150.0","19.0","mm","Haab 19x150 SMM","Haab 19x150 SMM","Haab 19x150 SMM","0.0","0.0","0.0","","","","42409","1800.0"
